NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_415025.4	WP_012601353.1	100	98.944	cnoX	b0492	cnoX	LF82_RS02450														LF82_RS09915	#N/A	35800.76	30849.1	68763.08	45458.14	72736.92	21291.23
NP_416041.1	WP_000257405.1	100	99.675	glsB	b1524	glsB	LF82_RS07805														LF82_RS09920	#N/A	4365.72	4791.54	8939.88	7056.47	8818.79	3986.6
NP_414969.4	WP_000973448.1	100	100	bolA	b0435	bolA	LF82_RS02140														LF82_RS09925	#N/A	44110.26	47712.3	98718.37	80561.91	121627.13	41850.23
NP_418220.1	WP_001468166.1	100	99.416	ilvA	b3772	ilvA	LF82_RS19790														LF82_RS09930	b1912	79.13	56.31	165.95	165.85	228.88	61.55
NP_415534.1	WP_001764409.1	100	99.242	putA	b1014	putA	LF82_RS05145														LF82_RS09935	b1913	232.66	166.15	325.04	303.58	534.27	176.67
NP_415090.2	WP_000035577.1	100	89.706	ybcV	b0558	pinQ	LF82_RS08065														LF82_RS09940	b1914	122	86.47	159.12	191	349.04	137.51
NP_415933.1	WP_000115933.1	100	99.165	aldA	b1415	aldA	LF82_RS07275														LF82_RS25720	b4752	5.5	2.5	8.5	10	17.54	8.05
NP_415795.1	WP_000876296.1	100	97.059	lapA	b1279	lapA	LF82_RS06820														LF82_RS09950	b1915	122	107.42	153.24	240.14	336.58	121.11
YP_026199.1	WP_001082926.1	100	98.544	ebgA	b3076	ebgA	LF82_RS16190														LF82_RS09955	b1916	109.25	60.52	168.68	82.22	128.08	50
NP_418474.4	WP_000891396.1	100	95	pspG	b4050	pspG	LF82_RS21415														LF82_RS09960	b1917	32.21	32.45	44.72	22.6	53.25	28
NP_416610.4	WP_000153067.1	100	100	rcnB	b2107	rcnB	LF82_RS11095														LF82_RS09965	b1918	35.03	19.17	35.04	30.21	41.42	20.62
NP_416950.1	WP_001075694.1	100	98.501	eutE	b2455	eutE	LF82_RS12735														LF82_RS09970	b1919	61.21	41.8	74.35	41.32	64.69	39.5
NP_415607.1	WP_000290727.1	100	100	rpmF	b1089	rpmF	LF82_RS05510														LF82_RS09975	b1920	131.35	184.79	374.07	132.01	159.64	122.63
NP_418047.1	WP_000582436.1	100	99.511	selB	b3590	selB	LF82_RS18855														LF82_RS09980	b1921	280.62	366.32	953.23	248.07	272.5	148.56
NP_416452.1	WP_000807584.1	100	99.32	fliJ	b1942	fliJ	LF82_RS10085														LF82_RS09985	b1922	380.63	621.11	1513.86	489.77	362.15	276.15
NP_418285.1	WP_000339788.1	100	99.799	ubiD	b3843	ubiD	LF82_RS20255														LF82_RS09990	#N/A	384.47	3669.84	8717.22	5475.2	4131.02	1886.89
NP_414763.1	WP_000006238.1	99	96.341	rayT	b0228	rayT	LF82_RS01315														LF82_RS09995	b1924	140.42	472.68	1050.84	489.32	494.43	169.89
NP_415397.1	WP_000599806.1	100	99.819	ybjD	b0876	ybjD	LF82_RS04190														LF82_RS10000	b1925	55.72	186.6	463.83	177.23	156.6	103
NP_417903.1	WP_000634166.1	100	94.681	yrhB	b3446	yrhB	LF82_RS18035														LF82_RS10005	b1926	68.07	240.19	534.19	212.2	216.35	102.1
NP_415681.1	WP_001298110.1	100	96.278	bluF	b1163	bluF	LF82_RS06145														LF82_RS10010	b1927	137.76	266.94	467.68	270.89	364.12	145.17
NP_417545.1	WP_000450588.1	100	98.182	ygjH	b3074	ygjH	LF82_RS16180														LF82_RS10015	b1928	65.88	59.53	152.67	122.96	187.25	83.06
NP_417228.1	WP_000517479.1	100	99.029	ftsB	b2748	ftsB	LF82_RS14265														LF82_RS10020	b1929	34.94	27.57	65.93	72.83	130.83	24.98
NP_415588.1	WP_000985014.1	100	97.101	flgN	b1070	flgN	LF82_RS05415														LF82_RS10025	#N/A	18.06	7.5	48.47	57.06	30.43	0.5
NP_417096.1	WP_000589793.1	100	98.125	yfiB	b2605	yfiB	LF82_RS13475														LF82_RS25725	b1930	6.59	2.57	10.74	5.7	4.2	1.5
NP_417856.1	WP_000045736.1	100	98.925	nudE	b3397	nudE	LF82_RS17755														LF82_RS10035	b1472	116.61	125.96	972.53	4103.52	3209.44	1562.56
YP_026170.1	WP_000970100.1	100	99.537	purL	b2557	purL	LF82_RS13190														LF82_RS26195	#N/A	3.12	0.25	0.3	2	7.72	3.06
NP_416143.2	WP_000214176.1	100	99.315	ydgK	b1626	ydgK	LF82_RS08455														LF82_RS10040	b0546	32.82	40.65	90.25	32.83	80.74	30.56
NP_418480.1	WP_000270375.1	100	100	yjbQ	b4056	yjbQ	LF82_RS21490														LF82_RS10045	b0545	40.14	37.22	55.61	53.08	86.81	27.81
NP_416413.1	WP_001187819.1	100	100	araG	b1900	araG	LF82_RS09865														LF82_RS10050	#N/A	50.6	59.29	178.28	66	72.03	48.83
NP_416062.2	WP_000836768.1	100	100	ydfK	b1544	ydfK	LF82_RS07930														LF82_RS10060	b1937	41.67	67.99	195.64	52.08	47.33	56
NP_418365.1	WP_001305044.1	100	99.675	menA	b3930	menA	LF82_RS20720														LF82_RS10065	b1938	396.06	604.61	1707.59	513.27	477.68	411.64
NP_414757.1	WP_000284050.1	100	100	gmhA	b0222	lpcA	LF82_RS01295														LF82_RS10070	b1939	326.99	462.75	1180.85	458.32	455.64	360.58
NP_416294.4	WP_001296124.1	100	97.959	yeaD	b1780	yeaD	LF82_RS09250														LF82_RS10075	b1940	189.17	239.32	641.61	250.88	237.79	220.58
NP_416253.1	WP_001039046.1	100	99.107	osmE	b1739	osmE	LF82_RS09035														LF82_RS10080	b1941	247.79	405.84	953.8	331.34	351.42	287.65
YP_002791242.1	WP_001219350.1	100	100	yoaK	b4676	yoaK	LF82_RS09325														LF82_RS10085	b1942	80.33	146.08	332.19	114.62	114.24	98.25
NP_417574.1	WP_001314179.1	99	100	yhaH	b3103	yqjG	LF82_RS16325														LF82_RS10090	b1943	185.65	270.28	797.37	327.59	301.38	169.41
NP_414648.1	WP_000157292.1	100	96.25	hofC	b0106	hofC	LF82_RS00540														LF82_RS10095	b1944	313.75	491.25	1128.46	387.61	287.84	197.95
YP_009518775.1	WP_001518585.1	100	98.246	ynaL	b4743	ynaL	LF82_RS26355														LF82_RS10100	b1945	343.9	484.12	1303.08	423.76	430.65	394.64
NP_415212.1	WP_000773282.1	100	99.213	ybfF	b0686	ybfF	LF82_RS03260														LF82_RS10105	b1946	185.96	265.83	654.46	223.75	193.92	226.65
NP_418549.1	WP_001216466.1	100	99.632	dcuS	b4125	dcuS	LF82_RS21885														LF82_RS10110	b1947	138.58	189.83	498.87	168.67	185.93	166
NP_416572.1	WP_000288390.1	100	97.518	alkA	b2068	alkA	LF82_RS10915														LF82_RS10115	b1948	186.33	277.62	569.37	203.59	247.14	168.11
NP_418214.2	WP_000058957.1	100	98.419	yifB	b3765	yifB	LF82_RS19760														LF82_RS10120	b1949	70.42	102.5	223.83	69.5	95.83	63
NP_417841.2	WP_001296472.1	100	98.333	yhfY	b3382	yhfY	LF82_RS17680														LF82_RS10125	b1950	111.95	153.78	326.52	134.93	153.06	74.29
NP_414614.1	WP_001140652.1	100	100	leuC	b0072	leuC	LF82_RS00380														LF82_RS10130	b1951	43.24	79.98	124.32	50.32	59.37	26.29
NP_416224.1	WP_000029464.1	100	99.197	btuD	b1709	btuD	LF82_RS08890														LF82_RS10135	b1952	14.95	21.2	46.4	81.75	82.62	47
YP_025294.2	WP_000425644.1	100	98.78	ilvI	b0077	ilvI	LF82_RS00405														LF82_RS10140	b1953	5	4	12	8.06	7.25	4
NP_418608.6	WP_001374875.1	100	98.891	aidB	b4187	aidB	LF82_RS22480														LF82_RS10145	b1955	2.5	3.81	12	7.5	8.14	5.08
NP_417468.1	WP_000083050.1	100	99.824	hybC	b2994	hybC	LF82_RS15700														LF82_RS10150	b1956	29.87	20.67	58.98	40.56	76.12	21.76
NP_415764.4	WP_000366959.1	100	100	yciU	b1248	yciU	LF82_RS06640														LF82_RS10155	b1957	9.44	12.37	13.67	15.43	13.87	13.21
NP_414931.1	WP_000698867.1	100	97.137	sbcC	b0397	sbcC	LF82_RS01950														LF82_RS10160	b1958	23.54	16.5	40.08	39.55	54.24	31.69
NP_415009.1	WP_000801820.1	100	95.925	aes	b0476	aes	LF82_RS02350														LF82_RS10165	b1959	16.07	5.99	19.41	20.03	24.47	16.46
NP_416126.1	WP_000732521.1	100	99.538	rstB	b1609	rstB	LF82_RS08365														LF82_RS10170	b1960	21.36	11.52	27.81	33	49.49	12
NP_418551.1	WP_000405647.1	100	98.889	yjdJ	b4127	yjdJ	LF82_RS21895														LF82_RS10175	b1961	51.15	38.54	91.96	87.46	135.18	57.58
NP_417659.1	WP_000476484.1	100	99.526	mlaC	b3192	mlaC	LF82_RS16725														LF82_RS10180	b1962	14.48	29.83	19.31	22.49	47.33	22.42
NP_417567.1	WP_001166764.1	100	99.213	mzrA	b3096	mzrA	LF82_RS16290														LF82_RS10185	b1963	0.6	3.25	2.17	6.55	5.29	4.06
NP_416117.1	WP_000276149.1	100	100	mdtJ	b1600	mdtJ	LF82_RS08320														LF82_RS10195	#N/A	7.14	11.46	29.93	24.93	32.66	4.26
YP_588476.1	WP_000608246.1	100	35.484	sgcB	b4565	rpe	LF82_RS10475														LF82_RS10205	b1967	14.18	13.48	126.62	34.25	46.4	26.06
NP_416750.2	WP_001297916.1	100	98.254	rhmD	b2247	rhmD	LF82_RS11835														LF82_RS10210	b1968	20.48	15.65	34.82	39.99	55.83	25.62
NP_416923.1	WP_001175629.1	100	95.973	murQ	b2428	murQ	LF82_RS12650														LF82_RS10215	b1969	13.36	7.3	11.17	26.17	49.88	23.06
NP_418756.1	WP_014640274.1	100	98.592	yjiN	b4336	yjiN	LF82_RS23185														LF82_RS10220	b1970	2.88	1.55	7.86	5.71	4.69	1.56
NP_415137.2	WP_001295854.1	100	99.194	dsbG	b0604	dsbG	LF82_RS02860														LF82_RS10225	b1971	5.62	3.02	9.03	5.87	8.6	2.15
NP_417463.4	WP_001298373.1	100	98.611	yghU	b2989	yghU	LF82_RS15675														LF82_RS10230	b1972	4.29	3.52	7.2	2.67	9	2.5
NP_417093.2	WP_001298694.1	100	98.347	yfiL	b2602	yfiL	LF82_RS13460														LF82_RS10235	b1973	7.25	3.29	6.75	9.03	10	6.39
NP_415019.1	WP_000982162.1	100	99.302	ybaT	b0486	ybaT	LF82_RS26065														LF82_RS10245	#N/A	5126.2	5701.04	11500.68	13136.59	22584.2	7204.88
NP_416404.1	WP_000906342.1	100	99.322	motA	b1890	motA	LF82_RS09830														LF82_RS10250	b1976	56.56	18.74	198.78	104.86	59.69	22.36
NP_415708.1	WP_000197868.1	100	99.438	dadX	b1190	dadX	LF82_RS06295														LF82_RS10255	#N/A	26076.69	24595.8	54589.79	30891.66	53297.94	14683.81
NP_416891.1	WP_000490072.1	100	100	ypeC	b2390	ypeC	LF82_RS12465														LF82_RS10260	b2349	766.67	578.56	403.1	272.34	624.64	158.35
NP_416662.1	WP_000548294.1	100	100	yeiE	b2157	yieE	LF82_RS11370														LF82_RS10265	#N/A	3.51	0.41	10.52	13.3	2.54	3.58
NP_416232.3	WP_001124225.1	100	100	rpmI	b1717	rpmI	LF82_RS08930														LF82_RS10270	#N/A	6.5	3	6.11	2.65	1.62	2.23
NP_417446.4	WP_000895874.1	100	96.283	pppA	b2972	pppA	LF82_RS15550														LF82_RS10275	#N/A	2.93	9.87	8.5	3.78	12.83	5.03
NP_418118.2	WP_024175379.1	100	97.475	nepI	b3662	nepI	LF82_RS19255														LF82_RS10280	#N/A	3.82	6.11	10.24	4.91	6.7	1.29
NP_417102.4	WP_001314062.1	100	99.62	ypjD	b2611	ypjD	LF82_RS13505														LF82_RS10285	#N/A	6.45	11.8	16.92	20.33	23.57	8.4
NP_415285.1	WP_000604037.1	100	98.69	modB	b0764	modB	LF82_RS03605														LF82_RS10290	#N/A	34.27	129.55	55.08	21.13	26.46	11.23
NP_416363.1	WP_000173466.1	100	98.98	purT	b1849	purT	LF82_RS09630														LF82_RS10295	#N/A	14.75	16.05	43.66	17.26	28.32	10.08
NP_416988.1	WP_000892033.1	100	98.867	yfgO	b2493	yfgO	LF82_RS12880														LF82_RS10300	#N/A	1.56	0.88	8.29	1.38	3.35	1.56
NP_418597.1	WP_001089295.1	100	100	yjeT	b4176	yjeT	LF82_RS22425														LF82_RS10305	#N/A	0.54	0.64	2.58	0.5	1.21	0.11
NP_415435.1	WP_000570514.1	100	97.866	lpxK	b0915	lpxK	LF82_RS04400														LF82_RS10310	#N/A	4.67	2.86	6.6	3.03	4.78	2.2
NP_415694.1	WP_000072533.1	100	99.134	minC	b1176	minC	LF82_RS06225														LF82_RS10315	#N/A	14.97	15.17	18.92	9.25	8.53	5.7
NP_416196.1	WP_000907968.1	100	98.109	sufD	b1681	sufD	LF82_RS08740														LF82_RS10320	#N/A	2.37	1.93	5.41	3.51	1.7	2.67
NP_417645.1	WP_001107467.1	100	100	ftsH	b3178	ftsH	LF82_RS16655														LF82_RS26025	#N/A	30.38	24.11	54.38	26.51	39.85	15.13
NP_418545.1	WP_000198741.1	99	97.596	yjdF	b4121	yjdF	LF82_RS21860														LF82_RS10340	#N/A	5.88	6.98	17.49	12.12	13	2.42
NP_417766.1	WP_001118930.1	100	100	rpsN	b3307	rpsN	LF82_RS17325														LF82_RS10345	b1981	132.5	137.04	350.12	80.8	95.06	36.5
NP_416287.1	WP_000878888.1	100	98.921	ydjI	b1773	ydjI	LF82_RS09215														LF82_RS10350	b1982	83.37	44.74	186.87	115.74	114.34	48.48
NP_414956.1	WP_001124935.1	100	100	xseB	b0422	xseB	LF82_RS02075														LF82_RS10355	b1983	123.33	113.73	198.14	221.23	365.17	134.84
NP_415320.1	WP_001218658.1	100	99.86	dinG	b0799	dinG	LF82_RS03790														LF82_RS10360	#N/A	26223.34	24745.45	55021.53	30912.04	53606.94	14749.73
YP_588478.1	WP_001350368.1	100	96.154	yjjZ	b4567	yjjZ	LF82_RS23330														LF82_RS10365	#N/A	15.76	9.37	24.91	24.95	38.43	11.19
NP_418421.1	WP_000284655.1	100	98.578	thiE	b3993	thiE	LF82_RS21080														LF82_RS10370	#N/A	27393.64	26382.95	56896.37	31259.3	54506.34	14941.4
NP_415676.1	WP_000905033.1	98	86.74	pinE	b1158	smpB	LF82_RS13595														LF82_RS10375	b1987	7.4	6.02	22.27	15.83	15.02	6.06
NP_415609.1	WP_000288132.1	100	100	fabH	b1091	fabH	LF82_RS05520														LF82_RS10380	#N/A	9.34	4.39	17.32	9.45	8.37	5.28
NP_416759.1	WP_000169712.1	99	98.305	arnD	b2256	arnD	LF82_RS11880														LF82_RS10385	#N/A	26189.95	24791.42	54988.33	30943.73	53537.24	14748.77
NP_416074.4	WP_000839590.1	100	100	essQ	b1556	essD	LF82_RS08100														LF82_RS10390	b1988	360.93	341.18	231.46	119.21	268.32	79.4
NP_414945.1	WP_001295827.1	100	98.299	tsx	b0411	tsx	LF82_RS02020														LF82_RS10395	#N/A	11.5	6.34	17.83	12	14.8	4
NP_416665.1	WP_000999817.1	100	85.635	yeiI	b2160	nfo	LF82_RS11385														LF82_RS10400	#N/A	20.8	21.67	33.62	12.43	25.58	7
NP_418633.4	WP_001317588.1	100	99.206	ytfH	b4212	ytfH	LF82_RS22645														LF82_RS10405	#N/A	0.37	1	1.01	0.67	0.86	0.08
YP_009029995.1	WP_001001761.1	100	100	mntS	b4705	mntS	LF82_RS03885														LF82_RS10410	b4225	12.1	4	29.92	13.5	25.54	7.89
YP_026191.1	WP_000943075.1	100	97.714	glcE	b4468	glcE	LF82_RS15585														LF82_RS10415	b4224	12	6.75	31.7	17.43	30	8
NP_417630.1	WP_000224345.1	100	99.758	mtr	b3161	mtr	LF82_RS16565														LF82_RS25295	#N/A	0.07	0.17	1	2.2	2.17	0
NP_416753.4	WP_001296251.1	100	95	yfaZ	b2250	yfaZ	LF82_RS11850														LF82_RS10420	#N/A	1	1	1	0	2.9	0
NP_415436.1	WP_000056515.1	100	98.049	ycaQ	b0916	ycaQ	LF82_RS04405														LF82_RS10425	#N/A	5.83	5.39	10.83	8.17	5.7	3.5
NP_415023.1	WP_001157546.1	100	98.222	fetA	b0490	fetA	LF82_RS02440														LF82_RS10430	b3484	60.25	39	88.32	84.41	72.42	26.08
NP_417110.1	WP_000162574.1	100	100	smpB	b2620	smpB	LF82_RS13550														LF82_RS10435	#N/A	123.1	68.2	227.86	120.51	202	57.56
NP_416889.1	WP_000170355.1	100	99.688	glk	b2388	glk	LF82_RS12455														LF82_RS10440	#N/A	135.54	71.18	194.39	97.41	178.97	66.7
NP_415329.4	WP_001267238.1	100	99.46	ybiO	b0808	ybiO	LF82_RS03835														LF82_RS10445	#N/A	59.86	42.9	110.18	78.74	129.02	52
NP_414877.1	WP_000291549.1	100	100	lacY	b0343	lacY	LF82_RS01745														LF82_RS10450	#N/A	46.84	35.47	105.96	55.69	110.65	39.35
NP_415998.4	WP_000495766.1	100	98.592	bdm	b1481	bdm	LF82_RS07625														LF82_RS10455	#N/A	3.98	1.45	6.2	5.63	3.64	1.25
NP_417926.1	WP_000106590.1	100	98.361	zntA	b3469	zntA	LF82_RS18160														LF82_RS10460	#N/A	5.09	5.14	10.33	4.55	5.43	1.27
NP_418497.1	WP_000195192.1	100	99.371	nrfD	b4073	nrfD	LF82_RS21585														LF82_RS10465	#N/A	4.75	1.59	13.3	3.12	6.26	1.37
NP_415341.1	WP_000961458.1	100	100	ybiT	b0820	ybiT	LF82_RS03905														LF82_RS10470	#N/A	13.4	4.6	9.34	10.28	8.92	1.67
NP_416409.1	WP_000122412.1	100	97.183	uspC	b1895	uspC	LF82_RS09845														LF82_RS10475	b4565	4.54	1.56	8.22	2.2	1.75	0.33
NP_414591.1	WP_000257182.1	99	98.566	apaH	b0049	apaH	LF82_RS00265														LF82_RS10480	#N/A	3.26	1.61	5.44	3.29	4.76	0.11
NP_417689.4	WP_000209059.1	100	97.938	nanK	b3222	nanK	LF82_RS16845														LF82_RS10485	#N/A	30.84	25.24	56.43	59.98	85.56	23.12
NP_417597.1	WP_001273939.1	100	99.426	garD	b3128	garD	LF82_RS16415														LF82_RS10490	#N/A	17.19	5.81	30.11	18.59	14.58	7.81
NP_416181.1	WP_000534254.1	100	98.325	ydhQ	b1664	ydhQ	LF82_RS08655														LF82_RS10495	b4304	19.44	12.46	52.56	27.04	31.1	15.06
YP_026208.1	WP_001253536.1	100	98.973	yhdP	b4472	yhdP	LF82_RS16955														LF82_RS10500	#N/A	5	9.17	16.2	13	15.85	6.7
NP_416667.1	WP_000415422.1	100	99.681	rihB	b2162	rihB	LF82_RS11390														LF82_RS10505	#N/A	37	19.5	30.62	25.67	35.04	11.07
NP_416526.4	WP_000080093.1	100	99.437	hisB	b2022	hisB	LF82_RS10710														LF82_RS10510	#N/A	30.07	21.57	58.18	53.95	65.05	31
NP_415642.1	WP_000580310.1	100	99.621	potC	b1124	potC	LF82_RS05685														LF82_RS10515	b1990	33.25	15.67	38.77	40.55	55.81	22.32
YP_026255.1	WP_001226625.1	100	98.592	rffG	b3788	rffG	LF82_RS19865														LF82_RS10520	b1991	30.33	10.53	37.85	35.5	29.53	19.02
NP_416468.1	WP_001212226.1	100	100	yedA	b1959	yedA	LF82_RS10165														LF82_RS10525	b1992	13.42	5.41	20.44	18.58	21.5	16.63
NP_417848.1	WP_000439850.1	100	99.724	aroB	b3389	aroB	LF82_RS17715														LF82_RS10530	b1993	12.53	6.17	19.15	17.93	34.75	8
NP_417764.1	WP_000091945.1	100	100	rplF	b3305	rplF	LF82_RS17315														LF82_RS10535	#N/A	3	0.67	4.5	3.25	3.83	3
NP_417053.2	WP_000734194.1	100	99.614	mltF	b2558	mltF	LF82_RS13195														LF82_RS10540	#N/A	7.28	2.96	11.59	13.24	17.42	3.82
NP_417725.1	WP_001145827.1	100	100	prmA	b3259	prmA	LF82_RS17075														LF82_RS10545	#N/A	2.33	0.67	2.07	1.5	1.4	1.1
NP_418802.1	WP_001293112.1	100	97.291	yjjJ	b4385	yjjJ	LF82_RS23435														LF82_RS10550	#N/A	0.43	0	0.12	1.23	0.67	0
NP_418370.1	WP_001305041.1	100	98.907	priA	b3935	priA	LF82_RS20745														LF82_RS10555	#N/A	1.91	1.72	3.56	0.8	0.94	0
NP_415122.1	WP_001346359.1	100	99.102	fepD	b0590	fepD	LF82_RS02785														LF82_RS10560	#N/A	0.75	3.65	3.3	4.54	2.82	2.25
NP_414966.1	WP_001239434.1	100	99.683	cyoA	b0432	cyoA	LF82_RS02125														LF82_RS10565	#N/A	1.26	2.62	4.55	0.25	1.21	1.33
NP_418393.1	WP_000935379.1	100	98.204	argC	b3958	argC	LF82_RS20885														LF82_RS10570	#N/A	1	0.64	0.83	2.77	1.58	0
NP_416383.4	WP_000252980.1	100	100	yecN	b1869	yecN	LF82_RS09735														LF82_RS10575	#N/A	6.48	4.13	9.1	6.94	11.92	1.55
YP_588446.1	WP_001019197.1	100	100	gnsA	b4517	gnsA	LF82_RS04730														LF82_RS10580	#N/A	0.5	0.2	0.32	1.24	1.14	0
NP_418186.1	WP_000933729.1	100	99.561	glmU	b3730	glmU	LF82_RS19590														LF82_RS10585	#N/A	0.8	0.89	1	0	2.25	0.06
NP_416477.1	WP_000826707.1	100	96.903	hprS	b1968	hprS	LF82_RS10210														LF82_RS10590	#N/A	0.1	0	2.17	0.05	2.11	0
NP_415841.4	WP_001304405.1	100	98.442	ycjG	b1325	ycjG	LF82_RS07050														LF82_RS10595	#N/A	1.35	0	2.83	0.2	1.67	1.33
NP_415608.2	WP_000197578.1	100	99.719	plsX	b1090	plsX	LF82_RS05515														LF82_RS10600	#N/A	16.42	17.96	23.72	16.33	21.54	11.89
NP_418616.1	WP_000776505.1	100	96.104	ulaC	b4195	ulaC	LF82_RS22520														LF82_RS10605	#N/A	2.31	1.56	2.6	2	1.53	1
NP_417511.3	WP_001443213.1	97	97.328	ygiD	b3039	ygiD	LF82_RS16000														LF82_RS10610	#N/A	2.73	4.15	5.54	7.68	4.79	1.66
NP_417870.1	WP_000181192.1	100	56.655	rpnA	b3411	yjiN	LF82_RS23190														LF82_RS10615	#N/A	4.56	2.18	7.71	7.83	10.14	3.75
NP_415443.2	WP_001295931.1	100	99.573	mukE	b0923	mukE	LF82_RS04440														LF82_RS10620	#N/A	1.91	11.03	26.71	6.45	15.22	9.64
NP_416458.1	WP_001253318.1	100	99.592	fliP	b1948	fliP	LF82_RS10115														LF82_RS10625	#N/A	11.09	4.17	14.31	3.45	13.08	5.34
NP_418439.1	WP_000857856.1	100	100	aceA	b4015	aceA	LF82_RS21200														LF82_RS10630	#N/A	2.17	2.11	8.5	6.33	1.33	2.5
NP_418809.4	WP_000409429.1	100	99.69	slt	b4392	sltY	LF82_RS23480														LF82_RS10635	#N/A	0.5	2	9.5	5.75	2.48	2.2
NP_414989.1	WP_000878140.1	100	100	ybaA	b0456	ybaA	LF82_RS02245														LF82_RS10640	#N/A	4.07	2	14.25	3.75	3.24	2.25
NP_418031.1	WP_000514241.1	100	99.645	plaR	b3574	yiaJ	LF82_RS18785														LF82_RS10645	b2007	81.1	81.08	217.4	140.17	184.67	64.2
NP_417505.1	WP_000833393.1	100	100	yqiB	b3033	yqiB	LF82_RS15955														LF82_RS10650	b2008	14.35	13.34	48.58	41.5	52.34	29.31
NP_415321.1	WP_000386565.1	100	99.375	ybiB	b0800	ybiB	LF82_RS03795														LF82_RS10655	b2009	7.17	4.18	14.74	7.9	14.88	4.56
NP_414654.1	WP_000399017.1	99	99.561	aroP	b0112	aroP	LF82_RS00575														LF82_RS10660	b2010	4.24	4.74	17.68	9.02	14.24	7.97
NP_416301.1	WP_000138051.1	100	99.401	yeaK	b1787	yeaK	LF82_RS09285														LF82_RS10665	b2011	61.87	39.72	158.01	121.6	140.87	76.06
NP_418540.1	WP_001217066.1	100	99.209	adiY	b4116	adiY	LF82_RS21835														LF82_RS10670	b2014	375.3	302.88	154.99	114.46	225.23	117
NP_417485.4	WP_000013152.1	100	99.636	dkgA	b3012	dkgA	LF82_RS15790														LF82_RS25745	b4678	22	21.5	10.67	4.5	14.56	0.5
NP_416108.2	WP_000148699.1	100	99.02	dmsD	b1591	dmsD	LF82_RS08270														LF82_RS10675	b2015	51.29	37.25	130.85	91.29	136.13	38.5
NP_417835.1	WP_000847192.1	100	96.122	yhfS	b3376	yhfS	LF82_RS17650														LF82_RS10680	b2016	51.4	43.5	158.27	129.78	166.19	55.07
NP_417863.1	WP_001253707.1	100	99.556	envZ	b3404	envZ	LF82_RS17795														LF82_RS10685	b4539	34.39	14	43.5	34.74	55.55	13.06
NP_417424.1	WP_000017106.1	100	100	yqgF	b2949	ruvX	LF82_RS15315														LF82_RS10690	b2017	34.87	30.08	55.85	61.75	47.21	11
NP_417739.1	WP_001070558.1	100	98.824	yrdB	b3280	yrdB	LF82_RS17190														LF82_RS24300	#N/A	6	12	48.7	31	41	2
NP_415739.1	WP_000070491.1	100	100	narL	b1221	narL	LF82_RS06480														LF82_RS10695	b2019	7.32	6.03	26.35	15.01	13.11	7.59
NP_418731.2	WP_001295734.1	100	100	nanC	b4311	nanC	LF82_RS22960														LF82_RS10700	b2020	6.04	5.12	16.49	13.13	20.09	10.36
NP_416439.1	WP_000118896.1	100	99.751	yedE	b1929	yedE	LF82_RS10020														LF82_RS10705	b2021	11.91	4.33	8.38	7.73	10.41	11
NP_415305.1	WP_000611264.1	100	95.062	moaD	b0784	moaD	LF82_RS03715														LF82_RS10710	b2022	21.74	10.4	53.91	26.75	24.53	22.01
NP_415758.1	WP_000616773.1	100	99.535	ychE	b1242	ychE	LF82_RS06610														LF82_RS10715	b2023	6.83	5.05	14.59	18.17	8.03	10.44
NP_417515.1	WP_000915007.1	98	59.14	yqiG	b3046	zupT	LF82_RS16015														LF82_RS10720	b2024	9.35	6.8	18.9	11.75	18.83	7.32
NP_418656.1	WP_001162189.1	100	98.889	tldE	b4235	pmbA	LF82_RS22745														LF82_RS10725	b2025	16.02	4.02	14.87	12.67	27.48	11.15
NP_414609.1	WP_000235676.1	100	97.388	thiP	b0067	thiP	LF82_RS00355														LF82_RS10730	b2026	13	12.5	23.67	10.42	18.35	16.33
NP_417352.2	WP_000835685.1	100	95.703	yqeC	b2876	yqeC	LF82_RS14940														LF82_RS10735	b2027	675.01	480.02	557.81	392.47	782.8	322.25
NP_416633.1	WP_000569385.1	100	98.052	yehX	b2129	yehX	LF82_RS11215														LF82_RS10740	b2028	273.97	190.63	425.8	337.88	541.19	213.87
NP_418646.1	WP_000373724.1	95	45.045	chpB	b4225	tnpA	LF82_RS10410														LF82_RS10745	b4571	687.64	442.9	951.98	1028.18	1531.39	969.64
NP_418437.1	WP_001122785.1	100	99.029	metA	b4013	metA	LF82_RS21190														LF82_RS10750	#N/A	200.77	175.2	296.3	293.94	474.69	116.28
NP_417296.1	WP_000775937.1	100	99.671	recD	b2819	recD	LF82_RS14735														LF82_RS10755	#N/A	133.28	106.08	156.98	157.33	282.48	64.55
NP_418398.3	WP_122083113.1	92	99.074	fabR	b3963	fabR	LF82_RS20930														LF82_RS10760	#N/A	106.17	101.43	153.98	122.56	281.07	68.76
NP_417355.4	WP_000906237.1	100	97.738	ssnA	b2879	ssnA	LF82_RS14955														LF82_RS10765	#N/A	185.77	174.96	256.21	221.26	422.2	126.45
NP_417696.1	WP_000257293.1	100	100	sspA	b3229	sspA	LF82_RS16875														LF82_RS10770	#N/A	238.76	202.77	294.05	282.44	482.44	145.56
NP_415302.1	WP_001295301.1	100	99.392	moaA	b0781	moaA	LF82_RS03700														LF82_RS10775	#N/A	220.23	164.34	159.87	195.86	390.39	98.34
